semester_raw,semester,midterm,normalized_midterm_name
F21,Fall 2021,mid1,Fall 2021 Midterm 1
F21,Fall 2021,mid2,Fall 2021 Midterm 2
F22,Fall 2022,mid1,Fall 2022 Midterm 1
F22,Fall 2022,mid2,Fall 2022 Midterm 2
F23,Fall 2023,mid1,Fall 2023 Midterm 1
F23,Fall 2023,mid2,Fall 2023 Midterm 2
F24,Fall 2024,mid1,Fall 2024 Midterm 1
F24,Fall 2024,mid2,Fall 2024 Midterm 2
F25,Fall 2025,mid1,Fall 2025 Midterm 1
F25,Fall 2025,mid2,Fall 2025 Midterm 2
W22,Winter 2022,mid1,Winter 2022 Midterm 1
W22,Winter 2022,mid2,Winter 2022 Midterm 2
W23,Winter 2023,mid1,Winter 2023 Midterm 1
W23,Winter 2023,mid2,Winter 2023 Midterm 2
W24,Winter 2024,mid1,Winter 2024 Midterm 1
W24,Winter 2024,mid2,Winter 2024 Midterm 2
