problem_name,key_n,key_support,key_confidence
mid2_find_carrot_fib,194,50,0.25773195876288657
midterm_2_practice_q29_email_fitb,57,17,0.2982456140350877
mid2_w22_find_all_wb_fitb,200,60,0.3
midterm_2_practice_q27_findall_regex_fib,114,38,0.3333333333333333
file_remove_newline,5,2,0.4
inhert_vocab_dnd,9,4,0.4444444444444444
midterm_2_practice_q30_soup_fitb,86,41,0.47674418604651164
q_midw23_object_attributes_and_methods_v2,208,101,0.4855769230769231
pillars_of_oop_dnd,16,8,0.5
file-open-fitb-object,12,6,0.5
html_span_div_css,8,4,0.5
class_diagram_parts_dnd,6,3,0.5
plan5_fill_v2,6,3,0.5
csv_file_dnd_string_and_conversion_functions_dnd,4,2,0.5
html_basic_tag_def_dnd,4,2,0.5
net_json_what_type_returned_d1,4,2,0.5
net_json_what_type_returned_data,4,2,0.5
question10_2_2,4,2,0.5
re-combo-dnd,4,2,0.5
cond-dnd-glossary3,2,1,0.5
intro-what-fitb-program,2,1,0.5
iteration_glossary_one,2,1,0.5
mult_class_deck_who_creates_cards_fitb,2,1,0.5
re-summary-dnd1,2,1,0.5
re-summary-dnd2,2,1,0.5
re-summary-dnd3,2,1,0.5
regex_char_classes_dnd,2,1,0.5
regex_match_adv_symbols,2,1,0.5
var-value-dnd-type,2,1,0.5
webAPI_fill1,2,1,0.5
midterm_2_reg_ex_fill_v2,102,52,0.5098039215686274
midterm_2_practice_q31_soup_fitb,86,44,0.5116279069767442
midterm_2_practice_q28_findall_fib,62,32,0.5161290322580645
mid_2_html_attr_fill,207,115,0.5555555555555556
funct_dict_symbol_dnd,7,4,0.5714285714285714
ut_method_def_dnd,19,11,0.5789473684210527
midterm_2_practice_findall_no_cg_fib,130,77,0.5923076923076923
html_list_tag_def_dnd,5,3,0.6
listPars_fill1,5,3,0.6
plan2_fill,5,3,0.6
beautifulsoup_fill,200,122,0.61
html_other_tags_def_dnd,8,5,0.625
html_table_tag_def_dnd,8,5,0.625
q_midf21_several_ifs_fitb,208,134,0.6442307692307693
mid2_w23_add_file_staging,186,121,0.6505376344086021
q_midf21_call_parent_method,208,136,0.6538461538461539
cndtnl-try-fitb-meaning,3,2,0.6666666666666666
csv_file_stocks_max_close_fitb,3,2,0.6666666666666666
csv_reader_read_one_row,3,2,0.6666666666666666
fileWriteCA,3,2,0.6666666666666666
funct_fitb_int_type,3,2,0.6666666666666666
funct_fitb_string_type,3,2,0.6666666666666666
http_connection,3,2,0.6666666666666666
listOb_fill2,3,2,0.6666666666666666
list_glossary2,3,2,0.6666666666666666
re_data_fitb,3,2,0.6666666666666666
var-operator-dnd-operations,3,2,0.6666666666666666
xml_parse_last_printed,3,2,0.6666666666666666
xml_parse_last_printed_when_no_attr,3,2,0.6666666666666666
M1-F25-FITB-17,125,84,0.672
midterm_2_practice_q26_nested_dict_fitb,107,75,0.7009345794392523
fitb_doc_string,52,37,0.7115384615384616
regex_extract_symbols_fitb,7,5,0.7142857142857143
M1-F25-FITB-Ifs,125,91,0.728
net_parse_json_convert_to_string_fitb,4,3,0.75
net_parse_xml_which_method,4,3,0.75
fitb_two_to_four_digits,5,4,0.8
regex_search_not_found_return_fitb,5,4,0.8
q_midf21_method_on_create_fitb,208,171,0.8221153846153846
mid_2_w22_nested_dict_fitb,149,124,0.8322147651006712
fitb_stop_paren_match,6,5,0.8333333333333334
mult_class_attribute_access_fitb,6,5,0.8333333333333334
question9_3_1,6,5,0.8333333333333334
str_method_fitb,80,68,0.85
str-parse-fitb-select,7,6,0.8571428571428571
mid_2_nested_dict_fitb,101,87,0.8613861386138614
file-try-fitb-close,28,25,0.8928571428571429
q_midf21_no_return_fitb,208,186,0.8942307692307693
mid2_fa22_test_cases_fitb,145,130,0.896551724137931
git_fitb,50,45,0.9
file-text-fitb-lines,15,14,0.9333333333333333
function_fitb,74,71,0.9594594594594594
mid2_w24_csv_writer_fill,60,58,0.9666666666666667
q_midf21_curr_obj_name_fitb,152,148,0.9736842105263158
self_fitb,73,72,0.9863013698630136
line_file_open_except_fitb,55,55,1.0
fsc_fitb_return_None,9,9,1.0
funct_tuple_first_index,9,9,1.0
html_a_tag_attribute_names,7,7,1.0
plan5_click,7,7,1.0
var-operator-fitb-symbol,7,7,1.0
html_a_tag_attribute_values,6,6,1.0
plan2_click,6,6,1.0
fitb_any_char_except_newline,5,5,1.0
fitb_stop_greedy,5,5,1.0
fitb_word_boundary,5,5,1.0
funct_tuple_last_index,5,5,1.0
itUpdate_fill2,5,5,1.0
regex_search_fitb,5,5,1.0
get_link_fill,4,4,1.0
itUpdate_fill1,4,4,1.0
itWhile_fill1,4,4,1.0
line_file_close_fitb,4,4,1.0
listSeq_fill1,4,4,1.0
plan4_click,4,4,1.0
regex_findall_return_type_fitb,4,4,1.0
