semester_raw,anon_student_id,session_id,midterm,practice_name,practice_direct_items,practice_direct_score_pct
F21,1,60,mid1,Midterm1-Practice-Fall21-Timed,26,85.76923076923077
F21,2,218,mid1,Midterm1-Practice-Fall21-Timed,26,86.15384615384615
F21,2,269,mid2,Mid2-Practice-Timed,33,54.54545454545454
F21,3,351,mid1,Midterm1-Practice-Fall21-Timed,26,68.84615384615384
F21,5,579,mid1,Midterm1-Practice-Fall21-Timed,26,64.23076923076923
F21,5,609,mid2,Mid2-Practice-Timed,33,51.76767676767676
F21,8,1058,mid1,Midterm1-Practice-Fall21-Timed,26,84.23076923076923
F21,8,1118,mid2,Mid2-Practice-Timed,34,63.23529411764706
F21,10,1307,mid1,Midterm1-Practice-Fall21-Timed,24,86.66666666666667
F21,11,1440,mid1,Midterm1-Practice-Fall21-Timed,26,81.82692307692308
F21,11,1488,mid2,Mid2-Practice-Timed,32,56.25
F21,14,1692,mid1,Midterm1-Practice-Fall21-Timed,25,60.8
F21,15,1806,mid1,Midterm1-Practice-Fall21-Timed,26,83.46153846153845
F21,16,1884,mid1,Midterm1-Practice-Fall21-Timed,16,93.75
F21,17,1930,mid1,Midterm1-Practice-Fall21-Timed,26,88.07692307692308
F21,21,2357,mid1,Midterm1-Practice-Fall21-Timed,26,95.76923076923076
F21,21,2383,mid2,Mid2-Practice-Timed,34,84.31372549019608
F21,22,2451,mid1,Midterm1-Practice-Fall21-Timed,25,91.6
F21,25,2681,mid1,Midterm1-Practice-Fall21-Timed,26,91.92307692307692
F21,28,3000,mid1,Midterm1-Practice-Fall21-Timed,26,96.15384615384616
F21,29,3120,mid2,Mid2-Practice-Timed,33,91.41414141414141
F21,30,3285,mid1,Midterm1-Practice-Fall21-Timed,25,44.4
F21,30,3342,mid2,Mid2-Practice-Timed,34,61.76470588235294
F21,32,3557,mid1,Midterm1-Practice-Fall21-Timed,26,88.07692307692308
F21,34,3964,mid1,Midterm1-Practice-Fall21-Timed,26,88.07692307692308
F21,35,4113,mid1,Midterm1-Practice-Fall21-Timed,26,63.846153846153854
F21,35,4175,mid2,Mid2-Practice-Timed,34,73.52941176470588
F21,38,4414,mid1,Midterm1-Practice-Fall21-Timed,26,83.17307692307693
F21,39,4510,mid1,Midterm1-Practice-Fall21-Timed,26,83.46153846153845
F21,42,4814,mid1,Midterm1-Practice-Fall21-Timed,26,92.3076923076923
F21,43,4976,mid1,Midterm1-Practice-Fall21-Timed,26,81.53846153846153
F21,43,5048,mid2,Mid2-Practice-Timed,33,82.82828282828282
F21,44,5141,mid1,Midterm1-Practice-Fall21-Timed,26,75.0
F21,46,5357,mid1,Midterm1-Practice-Fall21-Timed,26,91.53846153846155
F21,46,5391,mid2,Mid2-Practice-Timed,31,90.32258064516128
F21,48,5569,mid2,Mid2-Practice-Timed,32,50.0
F21,50,5771,mid1,Midterm1-Practice-Fall21-Timed,26,84.23076923076923
F21,50,5795,mid2,Mid2-Practice-Timed,34,79.41176470588235
F21,52,5894,mid1,Midterm1-Practice-Fall21-Timed,26,82.6923076923077
F21,53,5981,mid1,Midterm1-Practice-Fall21-Timed,26,75.09615384615384
F21,55,6303,mid1,Midterm1-Practice-Fall21-Timed,26,88.07692307692308
F21,55,6332,mid2,Mid2-Practice-Timed,34,88.23529411764706
F21,56,6405,mid1,Midterm1-Practice-Fall21-Timed,26,91.75824175824177
F21,57,6529,mid2,Mid2-Practice-Timed,31,87.09677419354838
F21,59,6728,mid1,Midterm1-Practice-Fall21-Timed,25,63.6
F21,59,6761,mid2,Mid2-Practice-Timed,33,64.24242424242425
