semester_raw,anon_student_id,midterm,semester,normalized_midterm_name,n_items_observed,n_items_scored,score_points,score_pct,exam_start,exam_end,n_sessions,total_exam_minutes,coverage_pct
F21,1,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,26.0,89.65517241379311,2021-10-06 16:59:47.000000,2021-10-06 18:15:01.000000,1,75.23333333333333,96.66666666666667
F21,1,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,17.7,70.8,2021-11-03 17:00:04.000000,2021-11-03 18:20:14.000000,1,80.16666666666667,86.20689655172414
F21,2,mid1,Fall 2021,Fall 2021 Midterm 1,31,30,24.727272727272727,82.42424242424242,2021-10-06 17:00:09.000000,2021-10-06 17:56:06.000000,1,55.95,96.7741935483871
F21,2,mid2,Fall 2021,Fall 2021 Midterm 2,30,26,20.0,76.92307692307693,2021-11-03 17:00:08.000000,2021-11-03 18:19:59.000000,1,79.85,86.66666666666667
F21,3,mid1,Fall 2021,Fall 2021 Midterm 1,32,31,26.4,85.16129032258064,2021-10-06 17:00:10.000000,2021-10-06 18:20:44.000000,1,80.56666666666666,96.875
F21,3,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,19.7,78.8,2021-11-03 17:00:35.000000,2021-11-03 18:20:35.000000,1,80.0,86.20689655172414
F21,4,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,14.818181818181818,51.09717868338558,2021-10-06 17:03:01.000000,2021-10-06 19:02:53.000000,1,119.86666666666666,96.66666666666667
F21,4,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,13.0,52.0,2021-11-03 17:00:26.000000,2021-11-03 18:21:16.000000,1,80.83333333333333,86.20689655172414
F21,5,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,23.2,80.0,2021-10-06 17:00:40.000000,2021-10-06 18:11:07.000000,1,70.45,96.66666666666667
F21,5,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,15.5,62.0,2021-11-03 17:00:19.000000,2021-11-03 18:05:30.000000,1,65.18333333333334,86.20689655172414
F21,6,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,13.0,44.827586206896555,2021-10-06 17:00:47.000000,2021-10-06 18:12:09.000000,1,71.36666666666666,96.66666666666667
F21,6,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,13.0,52.0,2021-11-03 16:59:53.000000,2021-11-03 18:04:31.000000,1,64.63333333333334,86.20689655172414
F21,7,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,21.8,75.17241379310346,2021-10-06 17:01:33.000000,2021-10-06 18:24:02.000000,1,82.48333333333333,96.66666666666667
F21,7,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,11.75,47.0,2021-11-03 17:01:49.000000,2021-11-03 18:22:24.000000,1,80.58333333333333,86.20689655172414
F21,8,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,26.0,89.65517241379311,2021-10-06 17:04:05.000000,2021-10-06 18:05:39.000000,1,61.56666666666667,96.66666666666667
F21,8,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,20.0,80.0,2021-11-03 16:59:54.000000,2021-11-03 18:08:25.000000,1,68.51666666666667,86.20689655172414
F21,9,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,22.4,77.24137931034483,2021-10-06 16:58:35.000000,2021-10-06 18:54:25.000000,1,115.83333333333333,96.66666666666667
F21,9,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,17.7,70.8,2021-11-03 17:00:33.000000,2021-11-03 18:20:34.000000,1,80.01666666666667,86.20689655172414
F21,10,mid1,Fall 2021,Fall 2021 Midterm 1,33,32,21.7,67.8125,2021-10-06 17:02:10.000000,2021-10-06 18:22:00.000000,1,79.83333333333333,96.96969696969697
F21,10,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,13.9,55.60000000000001,2021-11-03 17:06:17.000000,2021-11-03 18:26:37.000000,1,80.33333333333333,86.20689655172414
F21,11,mid1,Fall 2021,Fall 2021 Midterm 1,31,30,22.5,75.0,2021-10-06 17:00:26.000000,2021-10-06 18:20:28.000000,1,80.03333333333333,96.7741935483871
F21,11,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,16.7,66.8,2021-11-03 16:58:20.000000,2021-11-03 18:18:19.000000,1,79.98333333333333,86.20689655172414
F21,12,mid1,Fall 2021,Fall 2021 Midterm 1,26,25,14.0,56.00000000000001,2021-10-06 17:01:22.000000,2021-10-06 18:21:40.000000,1,80.3,96.15384615384616
F21,12,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,7.0,28.000000000000004,2021-11-03 17:15:52.000000,2021-11-03 18:08:31.000000,1,52.65,86.20689655172414
F21,14,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,25.0,86.20689655172413,2021-10-06 17:00:12.000000,2021-10-06 18:20:28.000000,1,80.26666666666667,96.66666666666667
F21,14,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,18.7,74.8,2021-11-03 17:00:32.000000,2021-11-03 18:20:38.000000,1,80.1,86.20689655172414
F21,15,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,27.0,93.10344827586206,2021-10-06 17:00:52.000000,2021-10-06 18:04:23.000000,1,63.516666666666666,96.66666666666667
F21,15,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,19.0,76.0,2021-11-03 17:00:12.000000,2021-11-03 18:05:06.000000,1,64.9,86.20689655172414
F21,16,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,22.618181818181817,77.99373040752351,2021-10-06 17:00:26.000000,2021-10-06 18:20:37.000000,1,80.18333333333334,96.66666666666667
F21,16,mid2,Fall 2021,Fall 2021 Midterm 2,28,24,14.0,58.333333333333336,2021-11-03 17:00:49.000000,2021-11-03 18:22:39.000000,1,81.83333333333333,85.71428571428571
F21,17,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,22.3,76.89655172413794,2021-10-06 17:00:15.000000,2021-10-06 18:02:41.000000,1,62.43333333333333,96.66666666666667
F21,17,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,11.7,46.8,2021-11-03 17:00:22.000000,2021-11-03 18:20:33.000000,1,80.18333333333334,86.20689655172414
F21,19,mid1,Fall 2021,Fall 2021 Midterm 1,29,28,15.818181818181818,56.493506493506494,2021-10-06 17:01:05.000000,2021-10-06 18:21:03.000000,1,79.96666666666667,96.55172413793103
F21,19,mid2,Fall 2021,Fall 2021 Midterm 2,30,26,15.85,60.96153846153845,2021-11-03 17:00:31.000000,2021-11-03 18:17:50.000000,1,77.31666666666666,86.66666666666667
F21,20,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,25.536363636363635,88.0564263322884,2021-10-06 17:00:29.000000,2021-10-06 18:20:19.000000,1,79.83333333333333,96.66666666666667
F21,20,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,15.7,62.8,2021-11-03 16:59:27.000000,2021-11-03 18:19:48.000000,1,80.35,86.20689655172414
F21,21,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,24.4,84.13793103448275,2021-10-06 17:00:01.000000,2021-10-06 17:52:31.000000,1,52.5,96.66666666666667
F21,21,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,19.4,77.6,2021-11-03 17:00:02.000000,2021-11-03 18:08:07.000000,1,68.08333333333333,86.20689655172414
F21,22,mid1,Fall 2021,Fall 2021 Midterm 1,31,30,24.7,82.33333333333334,2021-10-06 17:01:11.000000,2021-10-06 19:35:25.000000,1,154.23333333333332,96.7741935483871
F21,22,mid2,Fall 2021,Fall 2021 Midterm 2,30,26,19.9,76.53846153846153,2021-11-03 17:03:38.000000,2021-11-03 18:42:41.000000,1,99.05,86.66666666666667
F21,24,mid1,Fall 2021,Fall 2021 Midterm 1,30,29,17.0,58.620689655172406,2021-10-06 17:02:00.000000,2021-10-06 19:26:04.000000,1,144.06666666666666,96.66666666666667
F21,24,mid2,Fall 2021,Fall 2021 Midterm 2,29,25,11.7,46.8,2021-11-03 17:00:40.000000,2021-11-03 19:00:57.000000,1,120.28333333333333,86.20689655172414
F21,25,mid1,Fall 2021,Fall 2021 Midterm 1,31,30,22.21818181818182,74.06060606060606,2021-10-06 16:58:53.000000,2021-10-06 19:08:28.000000,1,129.58333333333334,96.7741935483871
F21,25,mid2,Fall 2021,Fall 2021 Midterm 2,30,26,17.7,68.07692307692308,2021-11-03 16:59:59.000000,2021-11-03 18:27:59.000000,1,88.0,86.66666666666667
