feature,n,within_group_rank_corr,top_quartile_minus_bottom_quartile_pct_points
parsons__mean_first_score,2308,0.5117942887984271,17.508088094605064
parsons__avg_event_score,2308,0.4976093407081161,16.581927024223326
learning__mean_first_score,2310,0.47798106802200774,16.64086336073902
all_activity__avg_event_score,2310,0.4683876018818345,15.882276651113003
mchoice__mean_first_score,2310,0.4128547900785924,14.120499578040665
mchoice__avg_event_score,2310,0.38958243621093175,13.59264742851564
fillb__mean_first_score,2308,0.3347118357424198,10.991096805775214
parsons__mean_last_score,2308,0.2685656269273617,9.852982169356466
fillb__mean_best_score,2308,0.2628630206149254,8.94510559843583
mix__activecode_share,2311,0.2596436064972101,10.479540522760317
parsons__mean_best_score,2308,0.2583733809472945,9.221561541754355
fillb__avg_event_score,2308,0.25045425171081115,7.89786801579946
clickable__avg_event_score,2227,0.23161563012555197,7.7652663490314495
fillb__mean_last_score,2308,0.2262810807426207,7.655421551708031
learning__mean_last_score,2310,0.21934299728200787,7.083531502811354
activecode__mean_last_score,2308,0.2191635768739806,8.030299379945546
learning__mean_best_score,2310,0.21880401869171734,7.801439920456389
activecode__mean_best_score,2308,0.21701483938224436,7.789984358009562
activecode__avg_event_score,2307,0.2079857508234843,5.667748739828184
shortanswer__active_days,2281,0.20252077860403286,10.236098488113782
clickable__mean_best_score,2227,0.1848876584115387,
activecode__mean_score_gain,2308,0.18319704113042476,7.757692629791563
clickable__mean_first_score,2227,0.1824568391966323,6.194031145515538
shortanswer__unique_problems,2281,0.17587624892431594,9.349563604845358
activecode__mean_first_score,2308,0.17461382310538473,5.882828862223789
mchoice__active_days,2310,0.16601405154843094,5.950483073824259
clickable__mean_last_score,2227,0.15320269812032797,
dragndrop__active_days,2301,0.1526296171949174,4.974766106858311
mix__mchoice_share,2311,0.1512557336851251,5.0212595989596736
mchoice__mean_best_score,2310,0.14452943907451993,5.599569048450974
mchoice__mean_last_score,2310,0.14019845249599347,5.35032299791736
activecode__scored_events,2308,0.13739901759390727,6.015206887665869
coverage__chapter_diversity,2311,0.13461075116174995,5.1445066952150285
activecode__active_days,2308,0.12823995596980836,5.4486081036146174
parsons__active_days,2308,0.1277976936005733,5.0145313054440095
consistency__active_days,2311,0.12720151668441512,4.664090071304116
all_activity__active_days,2310,0.12238945684895335,4.649777929337915
activecode__problems_seen,2308,0.11976771568027118,4.6970810912518886
activecode__scored_problems,2308,0.11976771568027118,4.6970810912518886
activecode__unique_problems,2308,0.11976771568027118,4.6970810912518886
fillb__active_days,2308,0.11836805381086264,4.922850214524786
shortanswer__total_events,2281,0.11791741182243014,5.422489622342681
coverage__unique_problems,2311,0.11675304651531059,4.16182395123063
all_activity__unique_problems,2310,0.1130544383677238,4.3124581936598645
learning__scored_problems,2310,0.1118549039218882,4.080738925250444
learning__problems_seen,2310,0.11161288333973929,4.107987392897144
activecode__total_events,2308,0.11053326525813226,5.561023095325552
clickable__active_days,2265,0.10961897055602475,4.558995316023115
fillb__scored_problems,2308,0.10810758394045765,4.969787319847299
mchoice__unique_problems,2310,0.10808102907766381,4.077392818083538
mchoice__scored_problems,2310,0.10808102907766381,4.077392818083538
mchoice__problems_seen,2310,0.10808102907766381,4.077392818083538
fillb__problems_seen,2308,0.10795219677629397,4.987583393493679
fillb__unique_problems,2308,0.10795219677629397,4.987583393493679
dragndrop__avg_event_score,2301,0.10638807294915298,2.6547220405367256
clickable__scored_problems,2265,0.10094146543389644,6.410697407847223
dragndrop__mean_first_score,2301,0.0864124246869051,2.113634195285144
consistency__unique_weeks,2311,0.0837320047244142,3.984245399013716
consistency__unique_sessions,2311,0.08286940419707237,3.6076465371936592
timing__last_days_before,2311,0.0825617999403335,
coverage__unique_subchapters,2311,0.0824620070000519,3.3658950872426487
mix__coding_share,2311,0.0803566664696441,3.7305037836057693
conceptcheck__unique_problems,2309,0.07434635177356293,3.127403557882488
clickable__unique_problems,2265,0.07433223087083635,3.5948037172154272
clickable__problems_seen,2265,0.07433223087083635,3.5948037172154272
dragndrop__scored_problems,2301,0.07243857390587763,2.198034609042338
dragndrop__problems_seen,2301,0.07234573517447881,2.1831424798840118
dragndrop__unique_problems,2301,0.07234573517447881,2.1831424798840118
parsons__unique_problems,2308,0.06183297362141335,2.592750590868448
parsons__scored_problems,2308,0.06183297362141335,2.592750590868448
parsons__problems_seen,2308,0.06183297362141335,2.592750590868448
coverage__unique_chapters,2311,0.05974956442666104,2.7014668624542963
conceptcheck__active_days,2309,0.05268477227546383,3.215396213850852
