semester_raw,midterm,chapter,n_events,n_students,n_problems
F21,mid1,functions,97389,103,402
F21,mid1,objects,80498,103,134
F21,mid1,inheritance,48209,103,48
F21,mid1,files,42199,103,96
F21,mid1,turtles,41788,101,108
F21,mid1,strings,23469,103,142
F21,mid1,dictionaries,21179,103,84
F21,mid1,iterations,17474,98,103
F21,mid1,variables,12899,103,105
F21,mid1,conditional,10083,103,109
F21,mid1,exp,9749,100,13
F21,mid1,tuples,8849,103,101
F21,mid1,classes-basics,6140,103,40
F21,mid1,lists,3896,39,115
F21,mid1,intro,1407,102,58
F21,mid1,debugging,307,10,14
F21,mid1,web,257,102,1
F21,mid1,database,13,1,9
F21,mid2,functions,100887,103,405
F21,mid2,objects,81555,103,135
F21,mid2,network,79025,103,172
F21,mid2,files,58660,103,105
F21,mid2,inheritance,58614,103,51
F21,mid2,turtles,46538,103,110
F21,mid2,dictionaries,41154,103,91
F21,mid2,iterations,38926,103,114
F21,mid2,regex,37251,102,110
F21,mid2,classes-basics,32710,103,58
F21,mid2,strings,25587,103,148
F21,mid2,conditional,20103,103,116
F21,mid2,web,19353,103,55
F21,mid2,variables,14303,103,106
F21,mid2,tuples,10639,103,105
F21,mid2,exp,9833,100,13
F21,mid2,lists,9184,103,122
F21,mid2,bsoup,9051,99,55
F21,mid2,intro,1550,103,58
F21,mid2,mult-classes,650,103,2
F21,mid2,debugging,403,10,14
F21,mid2,database,13,1,9
F22,mid1,functions,209092,147,482
F22,mid1,objects,116055,147,166
F22,mid1,turtles,94934,147,137
F22,mid1,classes-basics,90789,147,133
F22,mid1,inheritance,63652,147,104
F22,mid1,files,58207,147,121
F22,mid1,strings,42446,147,165
F22,mid1,lists,40725,147,183
F22,mid1,iterations,36098,145,144
F22,mid1,dictionaries,35183,147,120
F22,mid1,conditional,24081,147,142
F22,mid1,variables,22951,147,164
F22,mid1,tuples,14707,147,128
F22,mid1,exp,14366,146,11
F22,mid1,intro,777,146,57
F22,mid1,web,427,145,1
F22,mid1,debugging,185,9,14
F22,mid1,pictures,10,1,6
F22,mid1,regex,3,2,3
F22,mid1,bsoup,1,1,1
F22,mid2,functions,214008,146,510
F22,mid2,network,139813,146,170
F22,mid2,objects,117066,146,170
F22,mid2,files,112094,146,138
F22,mid2,inheritance,111856,146,142
F22,mid2,classes-basics,98125,146,145
F22,mid2,turtles,97856,146,139
F22,mid2,regex,88912,146,177
F22,mid2,dictionaries,73511,146,132
F22,mid2,lists,56665,146,190
F22,mid2,strings,46856,146,172
F22,mid2,iterations,41343,146,146
F22,mid2,conditional,35453,146,146
F22,mid2,variables,27913,146,164
F22,mid2,bsoup,23761,146,66
F22,mid2,tuples,16603,146,136
F22,mid2,web,16096,146,72
F22,mid2,exp,15962,146,11
F22,mid2,debugging,925,138,15
F22,mid2,intro,802,145,57
F22,mid2,pictures,10,1,6
F23,mid1,turtles,125056,148,114
F23,mid1,files,113884,147,100
F23,mid1,functions,110264,149,423
F23,mid1,objects,71563,140,101
F23,mid1,classes-basics,60270,149,98
F23,mid1,inheritance,47919,148,90
F23,mid1,iterations,32048,148,134
F23,mid1,lists,25294,149,164
F23,mid1,conditional,20674,148,115
F23,mid1,dictionaries,17432,147,74
F23,mid1,strings,15618,148,146
F23,mid1,exp,15250,141,13
F23,mid1,variables,13046,143,127
F23,mid1,tuples,3061,148,45
F23,mid1,intro,1223,141,59
F23,mid1,pi_no_chapter,852,142,1
F23,mid1,web,425,138,1
F23,mid1,debugging,137,3,14
F23,mid1,database,3,1,1
F23,mid1,regex,2,1,2
F23,mid2,network,137137,146,176
F23,mid2,turtles,135753,146,121
F23,mid2,regex,133173,145,163
F23,mid2,files,124964,146,127
F23,mid2,functions,116313,146,449
F23,mid2,objects,83983,146,107
