semester_raw,anon_student_id,midterm,score_group,active_days,last3_share,last7_share,concentration_hhi
F21,1,mid1,Q4 highest,13,0.44945420028476507,0.588514475557665,0.17173009533390293
F21,2,mid2,Q4 highest,11,0.2755729457797652,0.31470095025153716,0.23894265964822597
F21,3,mid2,Q4 highest,9,0.2449528936742934,0.37415881561238223,0.1768230718649975
F21,4,mid1,Q1 lowest,18,0.135,0.14208333333333334,0.14283020833333335
F21,4,mid2,Q1 lowest,9,0.41252220248667854,0.41252220248667854,0.19424297013272593
F21,6,mid1,Q1 lowest,12,0.17510944340212634,0.17761100687929957,0.1968354205118036
F21,6,mid2,Q1 lowest,7,0.018796992481203006,0.018796992481203006,0.2918975069252078
F21,7,mid2,Q1 lowest,9,0.2616892911010558,0.4720965309200603,0.19636393831230137
F21,8,mid1,Q4 highest,10,0.39534883720930236,0.48421926910299007,0.2240082890917319
F21,8,mid2,Q4 highest,8,0.012048192771084338,0.08032128514056225,0.34430089837260686
F21,10,mid1,Q1 lowest,15,0.5540322580645162,0.6685483870967742,0.17502124523066248
F21,10,mid2,Q1 lowest,9,0.2744721689059501,0.2744721689059501,0.22123367099623448
F21,12,mid1,Q1 lowest,10,0.03932119205298013,0.17115066225165565,0.15948073823516515
F21,12,mid2,Q1 lowest,5,0.3965785381026439,0.3965785381026439,0.2880282695084521
F21,14,mid1,Q4 highest,2,1.0,1.0,0.5234514903150217
F21,15,mid1,Q4 highest,6,0.0,0.33421052631578946,0.21851454293628808
F21,15,mid2,Q4 highest,8,0.45616883116883117,0.6022727272727273,0.30915837409343905
F21,17,mid2,Q1 lowest,2,0.0,0.0,0.9523620780118578
F21,19,mid1,Q1 lowest,11,0.14398513701811425,0.22015791918253597,0.19956707164351623
F21,20,mid1,Q4 highest,19,0.4376370139610015,0.44721356870889584,0.10433987754737818
F21,21,mid2,Q4 highest,12,0.4617414248021108,0.6138962181178539,0.19947801966167192
F21,22,mid2,Q4 highest,12,0.49624765478424016,0.525797373358349,0.16298589526521617
F21,24,mid1,Q1 lowest,9,0.3438395415472779,0.3438395415472779,0.1914639452878055
F21,24,mid2,Q1 lowest,9,0.1937436932391524,0.19878910191725532,0.3632663700855633
F21,26,mid1,Q4 highest,1,1.0,1.0,1.0
F21,27,mid1,Q1 lowest,8,0.11884057971014493,0.5898550724637681,0.27537912203318626
F21,27,mid2,Q1 lowest,7,0.08401253918495298,0.20501567398119122,0.4105914839673352
F21,28,mid1,Q4 highest,12,0.09273318872017354,0.5759219088937093,0.13669002122143223
F21,28,mid2,Q4 highest,8,0.5206017004578155,0.8221059516023543,0.3029286422814896
F21,29,mid1,Q1 lowest,15,0.12371638141809291,0.13007334963325184,0.10490205103986706
F21,29,mid2,Q1 lowest,8,0.3540268456375839,0.3540268456375839,0.21415827114894725
F21,30,mid1,Q1 lowest,15,0.449868073878628,0.5932277924362357,0.2136112484132896
F21,30,mid2,Q1 lowest,7,0.16145833333333331,0.2899305555555555,0.19252748842592593
F21,31,mid1,Q1 lowest,15,0.07461999078765545,0.4251497005988024,0.19449228248672198
F21,32,mid1,Q4 highest,13,0.5069674850696748,0.7136695421366954,0.20350243433761225
F21,34,mid1,Q4 highest,12,0.19966254218222723,0.3557367829021373,0.21789168578337156
F21,34,mid2,Q4 highest,9,0.41710427606901723,0.5138784696174044,0.25180244798634016
F21,35,mid1,Q4 highest,3,1.0,1.0,0.6480008358267864
F21,35,mid2,Q4 highest,13,0.5300842358604092,0.7021660649819494,0.21044266907630177
F21,36,mid1,Q1 lowest,12,0.26950925181013674,0.4231697506033789,0.1121356021718405
F21,36,mid2,Q1 lowest,10,0.10071210579857579,0.32146490335707023,0.16856137242584773
F21,39,mid1,Q4 highest,9,0.0009478672985781991,0.3289099526066351,0.23732710406325105
F21,39,mid2,Q4 highest,8,0.09285051067780872,0.11977715877437325,0.34967097124048113
F21,40,mid1,Q4 highest,2,1.0,1.0,0.6572963331109325
F21,41,mid1,Q4 highest,12,0.230712711241734,0.47318148420279205,0.12914554226832176
F21,41,mid2,Q4 highest,6,0.2956120092378753,0.45265588914549654,0.26609027729626805
F21,42,mid2,Q4 highest,7,0.4629537543510691,0.4629537543510691,0.30595301179168477
F21,43,mid1,Q1 lowest,12,0.3602896801448401,0.4514182257091129,0.15042745813467054
F21,44,mid1,Q4 highest,14,0.0018867924528301887,0.330188679245283,0.228856453463075
F21,45,mid1,Q1 lowest,12,0.10492227979274613,0.2079015544041451,0.12633057263282235
F21,47,mid2,Q4 highest,7,0.5374507227332457,0.5374507227332457,0.3938503352494557
F21,48,mid1,Q1 lowest,1,0.0,0.0,1.0
F21,49,mid1,Q1 lowest,17,0.09752547307132459,0.12663755458515283,0.1300318453118743
F21,49,mid2,Q1 lowest,11,0.2632893328576525,0.3328576525151623,0.21572511181066
F21,50,mid1,Q4 highest,10,0.5738522954091816,0.5738522954091816,0.20299221915450535
F21,50,mid2,Q4 highest,9,0.6985507246376811,0.7014492753623187,0.3616989894746668
F21,51,mid1,Q1 lowest,9,0.15137614678899083,0.1941896024464832,0.17339075461287398
F21,51,mid2,Q1 lowest,3,0.0,0.4492753623188406,0.39550514597773573
F21,52,mid1,Q4 highest,12,0.24721448467966572,0.4338440111420613,0.18534248647977597
F21,52,mid2,Q4 highest,9,0.47731239092495636,0.6195462478184991,0.1897288999753296
F21,53,mid1,Q4 highest,14,0.5822898032200358,0.7104203935599285,0.20004486272765382
F21,54,mid1,Q1 lowest,8,0.36885245901639346,0.36885245901639346,0.227354350225768
