semester_raw,midterm,feature_quartile,n,mean_score_pct,feature
F21,mid1,Q1 bottom,25,67.70681268027487,parsons__mean_first_score
F21,mid1,Q2,26,76.41240942965081,parsons__mean_first_score
F21,mid1,Q3,26,79.38170102787943,parsons__mean_first_score
F21,mid1,Q4 top,26,87.3144843662085,parsons__mean_first_score
F21,mid2,Q1 bottom,25,56.45917948717949,parsons__mean_first_score
F21,mid2,Q2,25,63.292307692307695,parsons__mean_first_score
F21,mid2,Q3,26,64.70567609029148,parsons__mean_first_score
F21,mid2,Q4 top,26,76.01954854262547,parsons__mean_first_score
F22,mid1,Q1 bottom,36,67.64751683501683,parsons__mean_first_score
F22,mid1,Q2,36,77.46713135373294,parsons__mean_first_score
F22,mid1,Q3,36,83.87191358024691,parsons__mean_first_score
F22,mid1,Q4 top,37,86.5966420966421,parsons__mean_first_score
F22,mid2,Q1 bottom,36,53.90186060444681,parsons__mean_first_score
F22,mid2,Q2,36,62.50416661985071,parsons__mean_first_score
F22,mid2,Q3,36,70.40195675971538,parsons__mean_first_score
F22,mid2,Q4 top,37,75.80615097856476,parsons__mean_first_score
F23,mid1,Q1 bottom,36,62.750934904384266,parsons__mean_first_score
F23,mid1,Q2,37,72.52384157538751,parsons__mean_first_score
F23,mid1,Q3,36,77.44065197997851,parsons__mean_first_score
F23,mid1,Q4 top,38,81.2238730231043,parsons__mean_first_score
F23,mid2,Q1 bottom,36,60.5490921115921,parsons__mean_first_score
F23,mid2,Q2,37,70.9002394799005,parsons__mean_first_score
F23,mid2,Q3,36,68.88092759821741,parsons__mean_first_score
F23,mid2,Q4 top,37,76.81430959002915,parsons__mean_first_score
F24,mid1,Q1 bottom,36,59.09718869858831,parsons__mean_first_score
F24,mid1,Q2,37,71.37717076453023,parsons__mean_first_score
F24,mid1,Q3,36,74.3286002690858,parsons__mean_first_score
F24,mid1,Q4 top,37,82.18597197796647,parsons__mean_first_score
F24,mid2,Q1 bottom,36,59.212178619773745,parsons__mean_first_score
F24,mid2,Q2,36,64.74209214822129,parsons__mean_first_score
F24,mid2,Q3,36,68.74790011559136,parsons__mean_first_score
F24,mid2,Q4 top,37,73.9917081905649,parsons__mean_first_score
F25,mid1,Q1 bottom,31,72.53682208339069,parsons__mean_first_score
F25,mid1,Q2,31,77.53698673488036,parsons__mean_first_score
F25,mid1,Q3,31,83.28174846769755,parsons__mean_first_score
F25,mid1,Q4 top,32,81.43108678511348,parsons__mean_first_score
F25,mid2,Q1 bottom,31,67.01552121212166,parsons__mean_first_score
F25,mid2,Q2,31,69.17572205608656,parsons__mean_first_score
F25,mid2,Q3,31,77.39575505270986,parsons__mean_first_score
F25,mid2,Q4 top,32,78.16364299884388,parsons__mean_first_score
W22,mid1,Q1 bottom,30,71.54536091354778,parsons__mean_first_score
W22,mid1,Q2,31,74.33324752422136,parsons__mean_first_score
W22,mid1,Q3,30,82.74816715542521,parsons__mean_first_score
W22,mid1,Q4 top,32,85.77367424242425,parsons__mean_first_score
W22,mid2,Q1 bottom,30,63.811660795571974,parsons__mean_first_score
W22,mid2,Q2,30,71.54384456222,parsons__mean_first_score
W22,mid2,Q3,30,71.35944674319369,parsons__mean_first_score
W22,mid2,Q4 top,30,79.63655259207685,parsons__mean_first_score
W23,mid1,Q1 bottom,46,66.33863587686676,parsons__mean_first_score
W23,mid1,Q2,47,80.02560718811635,parsons__mean_first_score
W23,mid1,Q3,47,81.37497498832789,parsons__mean_first_score
W23,mid1,Q4 top,47,87.45090566073691,parsons__mean_first_score
W23,mid2,Q1 bottom,46,58.66753302045841,parsons__mean_first_score
W23,mid2,Q2,47,66.84074681493207,parsons__mean_first_score
W23,mid2,Q3,46,73.534857777221,parsons__mean_first_score
W23,mid2,Q4 top,47,72.89083602513307,parsons__mean_first_score
W24,mid1,Q1 bottom,47,54.311019745722604,parsons__mean_first_score
W24,mid1,Q2,41,64.08555699977062,parsons__mean_first_score
W24,mid1,Q3,46,73.21260635915809,parsons__mean_first_score
W24,mid1,Q4 top,47,78.03491629427066,parsons__mean_first_score
W24,mid2,Q1 bottom,45,53.34444444444444,parsons__mean_first_score
W24,mid2,Q2,46,55.76361819090455,parsons__mean_first_score
W24,mid2,Q3,45,62.35626102292769,parsons__mean_first_score
W24,mid2,Q4 top,46,68.30411407199627,parsons__mean_first_score
F21,mid1,Q1 bottom,25,68.53138640095537,parsons__avg_event_score
F21,mid1,Q2,26,76.91512519738326,parsons__avg_event_score
F21,mid1,Q3,26,78.26251848628308,parsons__avg_event_score
F21,mid1,Q4 top,26,87.13809179326421,parsons__avg_event_score
F21,mid2,Q1 bottom,25,55.627384615384614,parsons__avg_event_score
F21,mid2,Q2,26,64.21538461538461,parsons__avg_event_score
F21,mid2,Q3,25,66.74969800569801,parsons__avg_event_score
F21,mid2,Q4 top,26,73.98522901599824,parsons__avg_event_score
F22,mid1,Q1 bottom,36,70.14013532763532,parsons__avg_event_score
F22,mid1,Q2,36,77.64507077947938,parsons__avg_event_score
F22,mid1,Q3,36,82.46524455077088,parsons__avg_event_score
F22,mid1,Q4 top,37,85.36691236691236,parsons__avg_event_score
F22,mid2,Q1 bottom,36,55.39747080625835,parsons__avg_event_score
F22,mid2,Q2,36,62.976605131777546,parsons__avg_event_score
F22,mid2,Q3,36,68.7404214559387,parsons__avg_event_score
F22,mid2,Q4 top,37,75.50792171481827,parsons__avg_event_score
F23,mid1,Q1 bottom,36,65.53136030620222,parsons__avg_event_score
F23,mid1,Q2,37,72.96469822421857,parsons__avg_event_score
F23,mid1,Q3,37,79.30046309685989,parsons__avg_event_score
F23,mid1,Q4 top,37,76.3201757054373,parsons__avg_event_score
F23,mid2,Q1 bottom,36,62.90401594730309,parsons__avg_event_score
F23,mid2,Q2,37,69.66498608560688,parsons__avg_event_score
F23,mid2,Q3,36,70.85797409729963,parsons__avg_event_score
F23,mid2,Q4 top,37,73.83467292884832,parsons__avg_event_score
F24,mid1,Q1 bottom,36,64.15316324855043,parsons__avg_event_score
F24,mid1,Q2,37,66.9473650375764,parsons__avg_event_score
F24,mid1,Q3,36,76.00799599148917,parsons__avg_event_score
F24,mid1,Q4 top,37,80.06244446694306,parsons__avg_event_score
F24,mid2,Q1 bottom,36,61.178594925210874,parsons__avg_event_score
F24,mid2,Q2,36,59.75624857046062,parsons__avg_event_score
F24,mid2,Q3,36,70.99499106359386,parsons__avg_event_score
F24,mid2,Q4 top,37,74.74317056017458,parsons__avg_event_score
F25,mid1,Q1 bottom,31,72.26463527596191,parsons__avg_event_score
F25,mid1,Q2,31,76.17649157735507,parsons__avg_event_score
F25,mid1,Q3,31,79.65634950869645,parsons__avg_event_score
F25,mid1,Q4 top,32,86.52485268019505,parsons__avg_event_score
F25,mid2,Q1 bottom,31,69.28159931910677,parsons__avg_event_score
F25,mid2,Q2,31,71.0784388331644,parsons__avg_event_score
F25,mid2,Q3,31,72.91967074470597,parsons__avg_event_score
F25,mid2,Q4 top,32,78.46132962828665,parsons__avg_event_score
W22,mid1,Q1 bottom,30,70.47146970258761,parsons__avg_event_score
W22,mid1,Q2,31,77.68139248888468,parsons__avg_event_score
W22,mid1,Q3,31,82.3296597609813,parsons__avg_event_score
W22,mid1,Q4 top,31,83.98088323400498,parsons__avg_event_score
W22,mid2,Q1 bottom,30,64.05657873234658,parsons__avg_event_score
W22,mid2,Q2,30,69.17348690425284,parsons__avg_event_score
W22,mid2,Q3,30,73.31030572817326,parsons__avg_event_score
W22,mid2,Q4 top,30,79.81113332828983,parsons__avg_event_score
W23,mid1,Q1 bottom,46,64.41219649915301,parsons__avg_event_score
W23,mid1,Q2,47,80.81321283265524,parsons__avg_event_score
W23,mid1,Q3,47,82.5427818696344,parsons__avg_event_score
W23,mid1,Q4 top,47,87.38094444073901,parsons__avg_event_score
W23,mid2,Q1 bottom,46,57.72536528030981,parsons__avg_event_score
W23,mid2,Q2,47,68.08911416711247,parsons__avg_event_score
W23,mid2,Q3,46,70.51016107215273,parsons__avg_event_score
W23,mid2,Q4 top,47,75.52493174699475,parsons__avg_event_score
W24,mid1,Q1 bottom,45,53.86983961121892,parsons__avg_event_score
W24,mid1,Q2,45,63.85194307608101,parsons__avg_event_score
W24,mid1,Q3,45,71.76006369109817,parsons__avg_event_score
W24,mid1,Q4 top,46,80.19268774703556,parsons__avg_event_score
W24,mid2,Q1 bottom,45,53.01481481481481,parsons__avg_event_score
