semester_raw,midterm,n_student_midterms,timed_practice_rate,finished_practice_rate,mean_actual_score,mean_best_practice_direct_score_pct
F21,mid1,103,71.84466019417476,55.33980582524271,77.80091050897164,80.94138382393231
F21,mid2,102,58.82352941176471,28.431372549019606,65.22199039159823,74.93404155406053
F22,mid1,145,93.79310344827586,88.27586206896552,78.94891021558371,84.29245890643776
F22,mid2,145,84.82758620689656,75.17241379310344,65.7235517905611,78.14131592477155
F23,mid1,148,83.78378378378379,60.13513513513513,73.431222457858,84.27257443334419
F23,mid2,146,63.013698630136986,41.78082191780822,69.34876044616809,78.35737549851491
F24,mid1,146,87.67123287671232,76.71232876712328,71.81619646786743,78.20396454319203
F24,mid2,145,77.24137931034483,60.0,66.7239403783449,69.00160749228439
F25,mid1,125,88.8,69.6,78.71853642390926,75.10873142769596
F25,mid2,126,81.74603174603175,66.66666666666666,73.02971324396073,67.74043608959184
W22,mid1,124,78.2258064516129,51.61290322580645,78.63893084202388,79.92992497953435
W22,mid2,120,0.0,0.0,71.58787617326563,
W23,mid1,187,68.98395721925134,48.663101604278076,78.86415603574002,84.53742056435797
W23,mid2,186,82.79569892473118,71.50537634408603,68.00373317299095,69.91843899865593
W24,mid1,183,74.31693989071039,57.377049180327866,67.29806952672979,76.11267835564414
W24,mid2,183,56.830601092896174,36.6120218579235,59.74670726844363,68.43505655418767
