semester_raw,midterm,problem_name_count,example_problem_names
F21,mid1,63,q_midf21_combo_str_ac | mid1-fall21-q30 | q_midf21_total_at_odd_pos_ac | q_midf21_get_index_duplicate_ac | q_midf21_less_than_dict_ac | mid1-fall21-q26 | mid1-fall21-q28 | q_midf21_cond_weather_ac | mid1-fall21-q29 | mid1-fall21-q27 | mid1-fall21-q21 | q_midf21_class_car_test_pp
F21,mid2,61,regex_ranges_ac | mid2fall21-27-ac | get_min_day_ac | question_regexdate_ac | mid2fall21-28-ac | mid2fall21-29-ac | mid_2_two_list_to_dict | mid2fall21-30-ac | mid_2_soup_get_dict_img_pp | html_pp | mid2fall21-21-pp | mid2fall21-23-pp
F22,mid1,62,prestest_is_ascending_ac | q_mid1f22_less_dict | q_midf21_combo_price_ac_v2 | mid1-fall22-ac29 | q_midf21_cond_weather_ac | mid1-fall22-ac30 | mid1-fall22-ac31 | mid1-fall22-ac28 | mid1-fall22-pp24 | q_midf21_class_car_test_pp | mid1-fall22-pp25 | q_midf21_turtle_draw_E_pp
F22,mid2,64,mid2_fa22_email_address_regex | get_min_day_ac | mid2-f22-get-month-counts-ac | mid2_fa22_q30_sq | mid2_fa22_q31_sq | mid2_fa22_q32_sq | html_pp | mid2_fa22_q27_sq | mid2_fa22_q25_sq | mid2_fa22_unittest_pp | file_get_cat_pp | mid2_fa22_q28_sq
F23,mid1,63,q_mid1f23_is_palindrome_ac | q_mid1f22_less_dict | prestest_is_ascending_ac | q_midf21_combo_price_ac_v2 | mid1-fall23-mcq31 | mid1-fall23-mcq28 | mid1-fall23-mcq29 | mid1-fall23-mcq30 | q_midf21_cond_weather_ac | mid1-fall23-mcq23 | q_midw23_index_dup_pp_v2 | mid1-fall23-mcq24
F23,mid2,107,mid2_win23_nested_dict_ac | mid2-f22-get-month-counts-ac | mid2_fall23_q32_sq | mid2_fall23_q33_sq | html_pp | mid2_fall23_q27_sq | mid2_wn23_unittest_student_pp | mid2_fall23_q29_sq | file_get_cat_pp | mid2_fall23_q28_sq | mid_2_soup_get_dict_img_pp | mid2_fall23_q30_sq
F24,mid1,65,ac_movie_genre_count_v2 | q_midf21_combo_price_ac_v3 | q_mid1f22_less_dict_v2 | q_midf21_cond_weather_ac | m1-f24-ac-30 | m1-f24-ac-29 | m1-f24-pp-24 | q_midf21_class_car_test_pp_v2 | m1-f24-ac-27 | m1-f24-ac-28 | m1-f24-pp-25 | pp_happy_hour_specials_v2
F24,mid2,59,mid2_win23_nested_dict_ac_v2 | mid2-f22-get-month-counts-ac | mid2_w24_q32_sq | mid2_fall23_q33_sq | mid2_f24_q26_pp_sq | mid2_f24_weather_nested_avg_rev | html_pp | mid2_fall23_q27_sq | mid2_f24_q25_pp_sq | file_get_cat_pp | mid2_fall23_q28_sq | mid2_fall23_q13_sq_v2
F25,mid1,59,ac_movie_genre_count_v3 | M1-F25-AC-30-v4 | mid-f25-q28-v3 | M1-F25-AC-29-sq | q_mid1f22_less_dict_v2 | m1-f24-ac-27 | m1-f24-pp-24 | q_midf21_class_car_test_pp_v2 | M1-F25-PP-25-sq | m1-f24-pp-22 | q_midf21_two_list_to_dict_pp | M1-F25-PP-23-sq
F25,mid2,57,M2-F25-AC-AGZ-2 | m2-f25-q29-ac-sq | mid2-f22-get-month-counts-ac | mid2_fall23_q33_sq | m2-f25-q26-pp-sq | mid2_f24_weather_nested_avg_rev2 | mid2_f24_q25_pp_sq | html_pp | mid2_fall23_q27_sq | file_get_cat_pp | mid2_fall23_q28_sq | mid2-f25-q7-mcq-sq
W22,mid1,62,q_midf21_combo_str_ac | mid1w22_q31_ac_sq | q_midw22_sum13_ac | mid1w22_q29_pp_sq | count_evens | q28_midw21_strings_join | mid1w22_q27_pp_sq | q_midf21_cond_weather_ac | mid1w22_q30_ac_sq | mid1w22_q24_pp_sq | q_midf21_turtle_draw_E_pp | mid1w22_q28_pp_sq
W22,mid2,67,regex_ranges_ac | get_min_day_ac | mid2_win22_q30_sq | mid2_win22_get_dogs_try_except_ac | mid2_win22_q31_sq | mid2_win22_q32_sq | html_pp | mid2_win22_q24_sq | mid2_win22_q26_sq | file_get_cat_pp | mid2_win22_q25_sq | mid2_win22_q27_sq
W23,mid1,63,q_mid1f22_less_dict | prestest_is_ascending_ac | q_midf21_combo_price_ac_v2 | mid1w23_q30_ac_sq | mid1w23_q29_ac_sq | q_midf21_cond_weather_ac | mid1w23_q31_ac_sq | mid1w23_q24_pp_sq_v2 | q_midf21_class_car_test_pp_v2 | mid1w23_q28_ac_sq | mid1w23_q23_pp_sq_v3 | q_midw23_index_dup_pp_v2
W23,mid2,67,mid2_win23_nested_dict_ac | get_min_day_ac | mid2w23_q33_ac | mid2w23_q32_ac | html_pp | mid2w23_q27_pp | mid2_wn23_unittest_student_pp | mid2w23_q29_pp | file_get_cat_pp | mid2w23_q28_pp | mid_2_soup_get_dict_img_pp | mid2w23_q30_pp
W24,mid1,64,q_mid1f23_is_palindrome_ac | mid1-fall23-mcq31 | q_midwn24_sequence | q_midf21_combo_price_ac_v2 | q_mid1f22_less_dict | mid1-w24-ac-2 | q_midf21_cond_weather_ac | mid1-w24-pp-3 | q_midf21_class_car_test_pp_v2 | mid1-w24-ac-5 | mid1-fall23-mcq29 | mid1-w24-pp-4
W24,mid2,64,q_midwn24_password_validator | mid2-f22-get-month-counts-ac | mid2_win23_nested_dict_ac_v2 | mid2_w24_q31_sq | mid2_fall23_q33_sq | mid2_w24_q32_sq | mid2_student_avg_nested | mid2_w24_q30_sq | html_pp | mid2_fall23_q27_sq | mid2_w24_q29_sq_v2 | mid2_wn23_sale_calculator_unittest_student_pp_v2
