semester_raw,problem_name,total_rows,total_students,exam_rows,exam_students,midterm_n,midterm,exam_ratio,student_ratio,looks_midtermish,obvious_false_positive
F21,Mid2-Fall21-1.5Time,32,8,16.0,8.0,1.0,mid2,0.5,1.0,True,False
F21,Midterm1-Fall21-15Time,38,8,22.0,8.0,1.0,mid1,0.5789473684210527,1.0,True,False
F21,Midterm1-Fall21-Gavin,6,1,3.0,1.0,1.0,mid1,0.5,1.0,True,False
F21,Midterm1-Fall21-Lizzie,3,1,2.0,1.0,1.0,mid1,0.6666666666666666,1.0,True,False
F21,beautifulsoup_fill,460,103,452.0,102.0,1.0,mid2,0.9826086956521739,0.9902912621359223,False,False
F21,file_get_cat_pp,1454,103,1431.0,102.0,1.0,mid2,0.984181568088033,0.9902912621359223,False,False
F21,get_min_day_ac,7167,103,7151.0,102.0,1.0,mid2,0.997767545695549,0.9902912621359223,False,False
F21,html_pp,1942,103,1915.0,102.0,1.0,mid2,0.986096807415036,0.9902912621359223,False,False
F21,mid1-fall21-q1,269,103,269.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q10,344,102,344.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q11,374,103,374.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q12,410,103,410.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q13,397,103,397.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q14,366,103,366.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q15,419,103,419.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q16,522,103,522.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q17,640,103,640.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q18,563,103,563.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q19,559,103,559.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q2,330,103,330.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q20,1270,103,1270.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q21,2598,103,2598.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q22,2375,102,2375.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q23,1289,102,1289.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q24,1121,102,1121.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q25,1600,102,1600.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q26,4145,103,4144.0,103.0,1.0,mid1,0.9997587454764777,1.0,True,False
F21,mid1-fall21-q27,2703,103,2701.0,103.0,1.0,mid1,0.9992600813910469,1.0,True,False
F21,mid1-fall21-q28,3975,101,3975.0,101.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q29,3411,102,3411.0,102.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q3,337,103,337.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q30,8784,103,8775.0,103.0,1.0,mid1,0.9989754098360656,1.0,True,False
F21,mid1-fall21-q4,309,103,309.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q5,328,103,328.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q6,323,103,323.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q7,336,103,336.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q8,303,103,303.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid1-fall21-q9,341,103,341.0,103.0,1.0,mid1,1.0,1.0,True,False
F21,mid2fall21-16-fitb,460,103,452.0,102.0,1.0,mid2,0.9826086956521739,0.9902912621359223,True,False
F21,mid2fall21-17-fitb,490,102,482.0,101.0,1.0,mid2,0.9836734693877551,0.9901960784313726,True,False
F21,mid2fall21-18-fitb,557,103,546.0,102.0,1.0,mid2,0.9802513464991023,0.9902912621359223,True,False
F21,mid2fall21-19-fitb,455,103,448.0,102.0,1.0,mid2,0.9846153846153847,0.9902912621359223,True,False
F21,mid2fall21-20-fitb,464,103,461.0,102.0,1.0,mid2,0.9935344827586207,0.9902912621359223,True,False
F21,mid2fall21-21-pp,1942,103,1915.0,102.0,1.0,mid2,0.986096807415036,0.9902912621359223,True,False
F21,mid2fall21-22-pp,1454,103,1432.0,102.0,1.0,mid2,0.984869325997249,0.9902912621359223,True,False
F21,mid2fall21-23-pp,1811,102,1789.0,101.0,1.0,mid2,0.9878520154610713,0.9901960784313726,True,False
F21,mid2fall21-24-pp,1531,102,1506.0,101.0,1.0,mid2,0.983670803396473,0.9901960784313726,True,False
F21,mid2fall21-25-pp,1141,102,1127.0,101.0,1.0,mid2,0.9877300613496932,0.9901960784313726,True,False
F21,mid2fall21-26-pp,948,79,940.0,78.0,1.0,mid2,0.9915611814345991,0.9873417721518988,True,False
F21,mid2fall21-27-ac,7513,103,7483.0,102.0,1.0,mid2,0.9960069213363504,0.9902912621359223,True,False
F21,mid2fall21-28-ac,5180,103,5173.0,102.0,1.0,mid2,0.9986486486486487,0.9902912621359223,True,False
F21,mid2fall21-29-ac,4591,103,4588.0,102.0,1.0,mid2,0.9993465475931169,0.9902912621359223,True,False
F21,mid2fall21-30-ac,2440,102,2436.0,102.0,1.0,mid2,0.9983606557377049,1.0,True,False
F21,mid2fall21-q1-mc,276,103,271.0,102.0,1.0,mid2,0.9818840579710145,0.9902912621359223,True,False
F21,mid2fall21-q10-mc,403,103,398.0,102.0,1.0,mid2,0.9875930521091811,0.9902912621359223,True,False
F21,mid2fall21-q11-mc,300,103,294.0,102.0,1.0,mid2,0.98,0.9902912621359223,True,False
F21,mid2fall21-q12-mc,346,103,340.0,102.0,1.0,mid2,0.9826589595375722,0.9902912621359223,True,False
F21,mid2fall21-q13-mc,396,103,387.0,102.0,1.0,mid2,0.9772727272727273,0.9902912621359223,True,False
F21,mid2fall21-q14-mc,353,103,352.0,102.0,1.0,mid2,0.9971671388101983,0.9902912621359223,True,False
F21,mid2fall21-q15-mc,374,103,364.0,102.0,1.0,mid2,0.9732620320855615,0.9902912621359223,True,False
F21,mid2fall21-q2-mc,325,103,319.0,102.0,1.0,mid2,0.9815384615384616,0.9902912621359223,True,False
F21,mid2fall21-q3-mc,307,103,301.0,102.0,1.0,mid2,0.9804560260586319,0.9902912621359223,True,False
F21,mid2fall21-q4-mc,348,103,341.0,102.0,1.0,mid2,0.9798850574712644,0.9902912621359223,True,False
F21,mid2fall21-q5-mc,297,103,289.0,102.0,1.0,mid2,0.9730639730639731,0.9902912621359223,True,False
F21,mid2fall21-q6-mc,301,103,297.0,102.0,1.0,mid2,0.9867109634551495,0.9902912621359223,True,False
F21,mid2fall21-q7-mc,326,103,321.0,102.0,1.0,mid2,0.9846625766871165,0.9902912621359223,True,False
F21,mid2fall21-q8-mc,286,103,282.0,102.0,1.0,mid2,0.986013986013986,0.9902912621359223,True,False
F21,mid2fall21-q9-mc,299,103,295.0,102.0,1.0,mid2,0.9866220735785953,0.9902912621359223,True,False
F21,mid_2_create_list_from_two_lists_pp,95,8,95.0,8.0,1.0,mid2,1.0,1.0,True,False
F21,mid_2_csv_read_write_pp_v2,1811,102,1789.0,101.0,1.0,mid2,0.9878520154610713,0.9901960784313726,True,False
F21,mid_2_dict_error_type_if_any_mc,301,103,297.0,102.0,1.0,mid2,0.9867109634551495,0.9902912621359223,True,False
F21,mid_2_dict_sorting_mc,348,103,341.0,102.0,1.0,mid2,0.9798850574712644,0.9902912621359223,True,False
F21,mid_2_git_move_to_github_mc,300,103,294.0,102.0,1.0,mid2,0.98,0.9902912621359223,True,False
F21,mid_2_html_attr_fill,455,103,448.0,102.0,1.0,mid2,0.9846153846153847,0.9902912621359223,True,False
F21,mid_2_html_attributes_mc,326,103,320.0,102.0,1.0,mid2,0.9815950920245399,0.9902912621359223,True,False
F21,mid_2_html_true_mc,346,103,340.0,102.0,1.0,mid2,0.9826589595375722,0.9902912621359223,True,False
F21,mid_2_nested_dict_fitb,490,102,482.0,101.0,1.0,mid2,0.9836734693877551,0.9901960784313726,True,False
F21,mid_2_pick_one_regex_mc,297,103,289.0,102.0,1.0,mid2,0.9730639730639731,0.9902912621359223,True,False
F21,mid_2_q11_regex_mc,353,103,352.0,102.0,1.0,mid2,0.9971671388101983,0.9902912621359223,True,False
F21,mid_2_q12_debug_mc,396,103,387.0,102.0,1.0,mid2,0.9772727272727273,0.9902912621359223,True,False
F21,mid_2_q1_split_v3_mc,286,103,282.0,102.0,1.0,mid2,0.986013986013986,0.9902912621359223,True,False
F21,mid_2_q8_question_beautifulsoup_mc,374,103,364.0,102.0,1.0,mid2,0.9732620320855615,0.9902912621359223,True,False
